#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.00E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               21.1 C
#  Switchcard temperature:              22.7 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	6.84713E-06	5.60000E+01	1.03438E+05	7.48011E+01	-1.32282E+05	4.97232E+01	1.20315E+02	-4.98736E-09
0.00000E+00	6.61487E-06	5.70000E+01	1.09474E+05	8.61919E+01	-1.41441E+05	7.65585E+01	1.12524E+02	-5.93596E-09
0.00000E+00	6.49872E-06	5.80000E+01	1.02425E+05	9.49535E+01	-1.31047E+05	4.84586E+01	1.21449E+02	-5.32563E-09
0.00000E+00	6.67293E-06	5.90000E+01	1.01700E+05	4.05088E+01	-1.30056E+05	7.37303E+01	1.22374E+02	-5.41755E-09
0.00000E+00	6.61483E-06	6.00000E+01	9.98244E+04	9.91618E+01	-1.27095E+05	1.67093E+01	1.25225E+02	-4.91447E-09
0.00000E+00	6.20009E-06	6.10000E+01	1.02150E+05	1.30521E+02	-1.30512E+05	9.25687E+01	1.21946E+02	-4.82736E-09
0.00000E+00	7.09596E-06	6.20000E+01	1.05065E+05	5.03007E+01	-1.35245E+05	7.89820E+01	1.17679E+02	-4.74364E-09
0.00000E+00	6.92178E-06	6.30000E+01	1.02822E+05	5.55424E+01	-1.31622E+05	6.69459E+01	1.20918E+02	-4.04217E-09
0.00000E+00	6.26643E-06	6.40000E+01	1.03689E+05	5.59249E+01	-1.32755E+05	9.51597E+01	1.19886E+02	-4.43451E-09
0.00000E+00	5.51155E-06	6.50000E+01	1.04482E+05	6.25057E+01	-1.33985E+05	9.68847E+01	1.18785E+02	-5.00952E-09
0.00000E+00	6.00098E-06	6.60000E+01	1.03202E+05	6.46851E+01	-1.32107E+05	5.43419E+01	1.20475E+02	-4.34850E-09
0.00000E+00	6.15860E-06	6.70000E+01	1.03724E+05	7.43543E+01	-1.32647E+05	4.42330E+01	1.19984E+02	-4.00100E-09
0.00000E+00	6.52358E-06	6.80000E+01	1.09477E+05	7.68271E+01	-1.41400E+05	7.76077E+01	1.12556E+02	-4.59841E-09
0.00000E+00	6.87199E-06	6.90000E+01	1.04174E+05	8.89719E+01	-1.33301E+05	3.91581E+01	1.19395E+02	-3.48691E-09
0.00000E+00	6.33279E-06	7.00000E+01	1.01069E+05	9.20730E+01	-1.28980E+05	6.19109E+01	1.23395E+02	-4.73578E-09
0.00000E+00	6.57333E-06	7.10000E+01	1.00961E+05	7.20833E+01	-1.28948E+05	6.33637E+01	1.23426E+02	-4.16143E-09
0.00000E+00	6.79731E-06	7.20000E+01	1.01130E+05	2.39048E+01	-1.29226E+05	6.75970E+01	1.23160E+02	-4.30066E-09
0.00000E+00	7.57708E-06	7.30000E+01	1.00484E+05	1.23662E+02	-1.28067E+05	4.46650E+01	1.24275E+02	-4.08788E-09
0.00000E+00	6.00095E-06	7.40000E+01	1.00889E+05	3.74945E+01	-1.28889E+05	5.84397E+01	1.23482E+02	-4.08705E-09
0.00000E+00	6.94662E-06	7.50000E+01	1.02910E+05	1.02942E+02	-1.31802E+05	1.08750E+02	1.20753E+02	-4.26450E-09
0.00000E+00	7.32824E-06	7.60000E+01	1.02059E+05	7.04659E+01	-1.30332E+05	5.99820E+01	1.22115E+02	-4.01172E-09
0.00000E+00	7.54392E-06	7.70000E+01	1.06158E+05	4.83380E+01	-1.36338E+05	6.42414E+01	1.16736E+02	-4.20610E-09
0.00000E+00	7.80106E-06	7.80000E+01	1.07272E+05	3.06398E+01	-1.38226E+05	5.90342E+01	1.15141E+02	-4.15245E-09
0.00000E+00	8.12458E-06	7.90000E+01	1.06568E+05	1.19952E+02	-1.36914E+05	7.22855E+01	1.16244E+02	-4.29828E-09
0.00000E+00	8.03333E-06	8.00000E+01	1.06486E+05	5.13085E+01	-1.36874E+05	5.47189E+01	1.16279E+02	-4.19327E-09
0.00000E+00	6.88026E-06	8.10000E+01	1.04836E+05	1.27250E+02	-1.34471E+05	8.16466E+01	1.18357E+02	-3.71293E-09
0.00000E+00	7.70152E-06	8.20000E+01	1.01135E+05	5.79979E+01	-1.29046E+05	5.31391E+01	1.23332E+02	-3.73065E-09
0.00000E+00	8.81310E-06	8.30000E+01	9.93539E+04	6.24446E+01	-1.26553E+05	5.74233E+01	1.25762E+02	-3.54710E-09
0.00000E+00	7.18720E-06	8.40000E+01	9.85247E+04	6.19497E+01	-1.25091E+05	9.64543E+01	1.27232E+02	-3.35904E-09
0.00000E+00	7.77617E-06	8.50000E+01	9.90429E+04	6.69118E+01	-1.26151E+05	4.00919E+01	1.26162E+02	-4.37405E-09
0.00000E+00	8.50617E-06	8.60000E+01	9.97753E+04	5.55444E+01	-1.26917E+05	2.57946E+01	1.25401E+02	-3.85672E-09
0.00000E+00	8.05822E-06	8.70000E+01	1.00437E+05	3.29120E+01	-1.27979E+05	4.87754E+01	1.24360E+02	-3.26144E-09
0.00000E+00	7.57710E-06	8.80000E+01	1.04059E+05	3.23568E+01	-1.33357E+05	8.14626E+01	1.19345E+02	-3.39998E-09
0.00000E+00	7.36971E-06	8.90000E+01	1.04774E+05	8.28430E+01	-1.34247E+05	6.95040E+01	1.18554E+02	-3.17125E-09
0.00000E+00	6.99640E-06	9.00000E+01	1.02679E+05	3.32830E+01	-1.31219E+05	7.00674E+01	1.21289E+02	-3.09262E-09
0.00000E+00	8.24900E-06	9.10000E+01	1.01524E+05	6.76976E+01	-1.29391E+05	7.44376E+01	1.23003E+02	-2.94968E-09
0.00000E+00	8.58081E-06	9.20000E+01	1.04545E+05	5.50040E+01	-1.33911E+05	7.23536E+01	1.18852E+02	-3.15472E-09
0.00000E+00	8.11625E-06	9.30000E+01	9.99963E+04	4.55398E+01	-1.27349E+05	7.39962E+01	1.24976E+02	-3.19365E-09
0.00000E+00	8.39001E-06	9.40000E+01	1.01831E+05	4.16970E+01	-1.30061E+05	4.37968E+01	1.22369E+02	-2.91259E-09
0.00000E+00	7.43604E-06	9.50000E+01	9.89998E+04	4.88019E+01	-1.25602E+05	6.42869E+01	1.26714E+02	-2.99562E-09
0.00000E+00	8.21580E-06	9.60000E+01	1.00390E+05	7.12169E+01	-1.28011E+05	6.44627E+01	1.24330E+02	-2.77796E-09
0.00000E+00	7.64341E-06	9.70000E+01	9.96041E+04	5.33116E+01	-1.26783E+05	5.07322E+01	1.25534E+02	-3.33285E-09
0.00000E+00	7.44432E-06	9.80000E+01	9.99721E+04	3.47329E+01	-1.27329E+05	6.89916E+01	1.24995E+02	-2.88028E-09
0.00000E+00	7.96693E-06	9.90000E+01	1.00172E+05	4.15760E+01	-1.27489E+05	6.20439E+01	1.24839E+02	-3.21629E-09
0.00000E+00	7.31159E-06	1.00000E+02	1.03407E+05	5.69807E+01	-1.32168E+05	7.87045E+01	1.20419E+02	-3.22708E-09
0.00000E+00	8.10796E-06	1.01000E+02	1.03663E+05	6.40893E+01	-1.32619E+05	9.90886E+01	1.20009E+02	-2.12141E-09
0.00000E+00	7.73465E-06	1.02000E+02	1.03685E+05	4.09341E+01	-1.32643E+05	6.73142E+01	1.19987E+02	-2.82133E-09
0.00000E+00	9.57624E-06	1.03000E+02	1.04890E+05	7.01267E+01	-1.34570E+05	5.64468E+01	1.18270E+02	-3.12168E-09
0.00000E+00	8.55589E-06	1.04000E+02	1.02217E+05	7.14720E+01	-1.30430E+05	6.34779E+01	1.22024E+02	-3.15353E-09
0.00000E+00	9.15318E-06	1.05000E+02	9.91171E+04	6.02683E+01	-1.25840E+05	8.00325E+01	1.26474E+02	-2.99419E-09
0.00000E+00	8.39830E-06	1.06000E+02	9.83951E+04	5.07281E+01	-1.25055E+05	4.63612E+01	1.27268E+02	-3.10582E-09
0.00000E+00	8.85453E-06	1.07000E+02	1.00402E+05	5.81261E+01	-1.27863E+05	3.08350E+01	1.24473E+02	-3.45515E-09
0.00000E+00	8.59738E-06	1.08000E+02	9.97096E+04	9.01037E+01	-1.26778E+05	1.08263E+02	1.25538E+02	-3.81584E-09
0.00000E+00	7.70978E-06	1.09000E+02	9.77375E+04	5.99497E+01	-1.23835E+05	6.96144E+01	1.28522E+02	-3.07635E-09
0.00000E+00	7.92546E-06	1.10000E+02	9.88159E+04	3.59594E+01	-1.25479E+05	4.89514E+01	1.26838E+02	-2.88246E-09
0.00000E+00	7.14567E-06	1.11000E+02	1.01469E+05	7.89253E+01	-1.29418E+05	4.55473E+01	1.22977E+02	-2.95512E-09
0.00000E+00	7.88395E-06	1.12000E+02	1.03667E+05	7.46742E+01	-1.32552E+05	4.70829E+01	1.20070E+02	-2.53393E-09
0.00000E+00	7.51896E-06	1.13000E+02	1.01886E+05	1.30592E+02	-1.29860E+05	4.80308E+01	1.22559E+02	-3.50240E-09
0.00000E+00	8.92088E-06	1.14000E+02	1.03527E+05	7.58008E+01	-1.32277E+05	4.53546E+01	1.20320E+02	-3.11853E-09
0.00000E+00	7.80932E-06	1.15000E+02	1.01272E+05	9.96526E+01	-1.28820E+05	6.85536E+01	1.23548E+02	-3.40949E-09
0.00000E+00	8.04986E-06	1.16000E+02	9.99564E+04	2.62627E+01	-1.27353E+05	5.29173E+01	1.24971E+02	-2.67950E-09
0.00000E+00	7.65997E-06	1.17000E+02	1.00503E+05	6.97957E+01	-1.27982E+05	6.74489E+01	1.24357E+02	-3.12404E-09
0.00000E+00	8.38167E-06	1.18000E+02	9.80377E+04	7.51047E+01	-1.24309E+05	7.63429E+01	1.28031E+02	-3.44604E-09
0.00000E+00	8.48122E-06	1.19000E+02	9.85731E+04	5.22075E+01	-1.25060E+05	5.82223E+01	1.27263E+02	-2.57110E-09
0.00000E+00	9.51815E-06	1.20000E+02	9.67627E+04	3.55924E+01	-1.22331E+05	5.69793E+01	1.30101E+02	-2.59222E-09
0.00000E+00	9.84168E-06	1.21000E+02	1.00485E+05	8.70829E+01	-1.27548E+05	7.35788E+01	1.24780E+02	-3.13599E-09
0.00000E+00	8.21578E-06	1.22000E+02	9.83829E+04	7.88253E+01	-1.24617E+05	5.07898E+01	1.27715E+02	-2.93452E-09
0.00000E+00	8.12452E-06	1.23000E+02	1.02736E+05	9.68587E+01	-1.31207E+05	6.66543E+01	1.21301E+02	-2.59104E-09
0.00000E+00	9.89975E-06	1.24000E+02	9.99050E+04	5.72273E+01	-1.26929E+05	3.59522E+01	1.25389E+02	-2.12782E-09
0.00000E+00	9.49328E-06	1.25000E+02	1.01722E+05	3.94086E+01	-1.29721E+05	3.54706E+01	1.22690E+02	-2.35515E-09
0.00000E+00	8.97066E-06	1.26000E+02	9.98373E+04	4.31052E+01	-1.26757E+05	3.99229E+01	1.25559E+02	-3.16675E-09
0.00000E+00	9.26930E-06	1.27000E+02	9.87130E+04	1.02696E+02	-1.24896E+05	8.34012E+01	1.27430E+02	-2.53312E-09
0.00000E+00	8.62225E-06	1.28000E+02	1.02317E+05	3.30236E+01	-1.30717E+05	4.10190E+01	1.21755E+02	-3.02040E-09
0.00000E+00	8.97066E-06	1.29000E+02	1.02684E+05	4.78940E+01	-1.31003E+05	8.80423E+01	1.21489E+02	-2.44616E-09
0.00000E+00	8.12452E-06	1.30000E+02	1.00319E+05	6.00713E+01	-1.27207E+05	4.06773E+01	1.25115E+02	-3.26715E-09
0.00000E+00	9.64257E-06	1.31000E+02	9.90821E+04	3.43439E+01	-1.25629E+05	1.92914E+01	1.26686E+02	-2.96566E-09
0.00000E+00	9.19462E-06	1.32000E+02	1.00452E+05	2.55390E+01	-1.27639E+05	4.38251E+01	1.24692E+02	-1.89483E-09
0.00000E+00	8.79646E-06	1.33000E+02	1.01454E+05	7.45960E+01	-1.28938E+05	4.90812E+01	1.23435E+02	-2.96671E-09
0.00000E+00	9.53473E-06	1.34000E+02	1.07333E+05	1.05954E+02	-1.38234E+05	8.11492E+01	1.15134E+02	-2.33077E-09
0.00000E+00	7.85077E-06	1.35000E+02	1.00103E+05	1.26350E+02	-1.27181E+05	1.00647E+02	1.25140E+02	-2.79018E-09
0.00000E+00	8.29043E-06	1.36000E+02	1.08467E+05	1.89209E+01	-1.40489E+05	1.01492E+02	1.13286E+02	-2.89146E-09
0.00000E+00	7.06271E-06	1.37000E+02	1.08230E+05	5.42048E+01	-1.40215E+05	5.34206E+01	1.13508E+02	-2.73455E-09
0.00000E+00	8.04156E-06	1.38000E+02	1.09975E+05	7.89795E+01	-1.42664E+05	5.22724E+01	1.11559E+02	-3.01345E-09
0.00000E+00	9.11997E-06	1.39000E+02	1.02163E+05	1.09445E+02	-1.31180E+05	3.88206E+01	1.21326E+02	-2.56904E-09
0.00000E+00	8.90430E-06	1.40000E+02	9.44800E+04	6.43448E+01	-1.19365E+05	5.34326E+01	1.33334E+02	-3.19469E-09
0.00000E+00	8.61395E-06	1.41000E+02	8.29693E+04	4.80535E+01	-1.00967E+05	5.62053E+01	1.57630E+02	-2.36479E-09
0.00000E+00	8.41487E-06	1.42000E+02	6.79986E+04	4.29781E+01	-7.53757E+04	1.59529E+01	2.11149E+02	-3.13785E-09
0.00000E+00	9.24442E-06	1.43000E+02	5.36575E+04	2.88590E+01	-4.81264E+04	1.68465E+01	3.30702E+02	-2.56011E-09
0.00000E+00	7.51068E-06	1.44000E+02	4.96254E+04	1.80725E+01	-4.03718E+04	1.31357E+01	3.94223E+02	-3.02707E-09
2.50000E+01	2.49844E+01	1.00000E+00	1.10617E+05	6.21160E+01	-1.45701E+05	8.44147E+01	1.09234E+02	1.91270E-08
2.50000E+01	2.49840E+01	2.00000E+00	1.09127E+05	1.19203E+02	-1.43206E+05	5.91087E+01	1.11137E+02	9.01560E-09
2.50000E+01	2.49840E+01	3.00000E+00	1.07486E+05	6.50065E+01	-1.40759E+05	5.80221E+01	1.13069E+02	1.05008E-08
2.50000E+01	2.49843E+01	4.00000E+00	1.03660E+05	4.67393E+01	-1.35085E+05	6.00253E+01	1.17819E+02	-1.82271E-09
2.50000E+01	2.49841E+01	5.00000E+00	1.10974E+05	5.49378E+01	-1.45987E+05	8.12857E+01	1.09020E+02	1.86955E-09
2.50000E+01	2.49839E+01	6.00000E+00	1.10423E+05	1.34724E+02	-1.45156E+05	1.13291E+02	1.09644E+02	-2.01186E-09
2.50000E+01	2.49839E+01	7.00000E+00	1.09412E+05	7.77879E+01	-1.43854E+05	1.31567E+02	1.10636E+02	-3.50257E-09
2.50000E+01	2.49839E+01	8.00000E+00	1.06315E+05	6.87430E+01	-1.39088E+05	4.00080E+01	1.14427E+02	-1.58966E-09
2.50000E+01	2.49839E+01	9.00000E+00	1.06031E+05	8.99289E+01	-1.38682E+05	8.19941E+01	1.14762E+02	-2.98180E-09
2.50000E+01	2.49842E+01	1.00000E+01	1.05727E+05	1.41569E+02	-1.38120E+05	6.39562E+01	1.15229E+02	8.44086E-10
2.50000E+01	2.49849E+01	1.10000E+01	1.03841E+05	7.53047E+01	-1.35138E+05	7.29367E+01	1.17772E+02	-6.16321E-09
2.50000E+01	2.49844E+01	1.20000E+01	1.03769E+05	1.08123E+02	-1.35252E+05	5.97495E+01	1.17673E+02	-4.63858E-09
2.50000E+01	2.49845E+01	1.30000E+01	1.05380E+05	8.36780E+01	-1.37728E+05	4.88156E+01	1.15557E+02	-7.78516E-09
2.50000E+01	2.49846E+01	1.40000E+01	1.05148E+05	6.82847E+01	-1.37386E+05	8.57172E+01	1.15845E+02	-4.91843E-10
2.50000E+01	2.49843E+01	1.50000E+01	1.06374E+05	9.91976E+01	-1.39292E+05	6.13267E+01	1.14260E+02	2.47133E-09
2.50000E+01	2.49846E+01	1.60000E+01	1.00265E+05	5.29891E+01	-1.30227E+05	9.50053E+01	1.22213E+02	-4.03809E-09
2.50000E+01	2.49849E+01	1.70000E+01	1.02274E+05	7.96578E+01	-1.33012E+05	4.31768E+01	1.19655E+02	-1.52846E-09
2.50000E+01	2.49847E+01	1.80000E+01	1.08480E+05	5.28901E+01	-1.42500E+05	1.12959E+02	1.11688E+02	-2.18328E-09
2.50000E+01	2.49843E+01	1.90000E+01	1.05588E+05	5.47635E+01	-1.38111E+05	7.92298E+01	1.15237E+02	-5.38015E-09
2.50000E+01	2.49843E+01	2.00000E+01	1.02502E+05	8.97476E+01	-1.33155E+05	8.59637E+01	1.19526E+02	-4.95492E-09
2.50000E+01	2.49843E+01	2.10000E+01	1.10944E+05	9.23082E+01	-1.45913E+05	6.51540E+01	1.09076E+02	-2.96678E-09
2.50000E+01	2.49845E+01	2.20000E+01	1.04367E+05	4.43558E+01	-1.35940E+05	6.08421E+01	1.17077E+02	-5.33938E-09
2.50000E+01	2.49847E+01	2.30000E+01	1.03266E+05	6.76018E+01	-1.34482E+05	6.29902E+01	1.18346E+02	-5.68378E-09
2.50000E+01	2.49849E+01	2.40000E+01	1.02769E+05	8.15426E+01	-1.33631E+05	8.51187E+01	1.19100E+02	-2.56528E-09
2.50000E+01	2.49842E+01	2.50000E+01	1.01440E+05	1.04122E+02	-1.31994E+05	4.52610E+01	1.20578E+02	-1.46269E-09
2.50000E+01	2.49841E+01	2.60000E+01	1.04456E+05	5.52217E+01	-1.36479E+05	9.11206E+01	1.16615E+02	-5.74815E-09
2.50000E+01	2.49846E+01	2.70000E+01	1.00639E+05	7.02254E+01	-1.30769E+05	8.24597E+01	1.21707E+02	-5.85785E-09
2.50000E+01	2.49844E+01	2.80000E+01	1.03746E+05	7.53169E+01	-1.35263E+05	6.04966E+01	1.17663E+02	-2.98440E-10
2.50000E+01	2.49840E+01	2.90000E+01	1.04423E+05	9.06510E+01	-1.36332E+05	1.13874E+02	1.16741E+02	-8.06840E-09
2.50000E+01	2.49844E+01	3.00000E+01	1.03817E+05	8.39905E+01	-1.35323E+05	5.50105E+01	1.17611E+02	-8.02834E-09
2.50000E+01	2.49843E+01	3.10000E+01	1.08423E+05	7.20194E+01	-1.42297E+05	7.43747E+01	1.11847E+02	-5.88437E-09
