#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          1E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               22.7 C
#  Switchcard temperature:              23.6 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	9.27683E-06	1.41000E+02	4.87795E+03	6.44407E+01	-9.77584E+04	6.29368E+01	1.62804E+02	-2.95434E-09
0.00000E+00	9.62525E-06	1.42000E+02	6.05651E+03	7.63242E+01	-7.44311E+04	3.18697E+01	2.13829E+02	-2.80080E-09
0.00000E+00	1.01976E-05	1.43000E+02	8.38388E+03	1.33977E+01	-5.01612E+04	2.05746E+01	3.17287E+02	-3.75157E-09
0.00000E+00	1.01396E-05	1.44000E+02	1.32321E+04	3.42088E+00	-1.23051E+04	3.45809E+00	1.29341E+03	3.44128E-07
2.50000E+01	2.49845E+01	1.00000E+00	5.80761E+03	1.27592E+02	-1.09548E+05	7.16586E+01	1.45284E+02	1.13547E-07
2.50000E+01	2.49844E+01	2.00000E+00	5.88421E+03	4.07613E+01	-1.08401E+05	7.60931E+01	1.46820E+02	4.06691E-08
2.50000E+01	2.49841E+01	3.00000E+00	5.93868E+03	7.48781E+01	-9.63399E+04	7.47194E+01	1.65201E+02	2.47916E-08
2.50000E+01	2.49841E+01	4.00000E+00	7.12316E+03	5.20065E+01	-7.09542E+04	4.46870E+01	2.24307E+02	1.84041E-08
2.50000E+01	2.49841E+01	5.00000E+00	7.12352E+03	3.08586E+01	-7.36669E+04	5.13471E+01	2.16047E+02	1.23657E-08
2.50000E+01	2.49846E+01	6.00000E+00	7.13723E+03	1.99375E+01	-7.35586E+04	3.29131E+01	2.16365E+02	2.19135E-08
2.50000E+01	2.49847E+01	7.00000E+00	5.93937E+03	6.77693E+01	-9.75975E+04	2.63147E+01	1.63073E+02	2.80730E-08
2.50000E+01	2.49845E+01	8.00000E+00	5.89841E+03	6.17808E+01	-9.56409E+04	9.96044E+01	1.66409E+02	2.05197E-08
2.50000E+01	2.49846E+01	9.00000E+00	6.98185E+03	4.01369E+01	-7.18969E+04	1.35674E+01	2.21365E+02	2.27594E-08
2.50000E+01	2.49842E+01	1.00000E+01	7.17963E+03	4.34325E+01	-7.16243E+04	4.60097E+01	2.22208E+02	2.28549E-08
2.50000E+01	2.49843E+01	1.10000E+01	7.29669E+03	3.88164E+01	-7.07927E+04	3.84587E+01	2.24818E+02	2.40748E-08
2.50000E+01	2.49846E+01	1.20000E+01	7.13897E+03	1.22560E+01	-7.09055E+04	2.74565E+01	2.24461E+02	2.19228E-08
2.50000E+01	2.49842E+01	1.30000E+01	7.10682E+03	2.92561E+01	-7.15973E+04	1.14510E+01	2.22292E+02	2.18339E-08
